Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4260441091,2015-06-04T00:00:00,1124,,,CA,201612,,VOLK,PA,BK,2013 WILSHIRE BOULEVARD,00600,56,80.56E2,YELLOW ZONE,58,99999,99999
4349049434,2019-02-22T00:00:00,1230.0,,,CA,201903.0,,SUZI,PA,GY,6020 HAZELTINE AVE,360R1,53.0,80.56E2,YELLOW ZONE,58.0,6428596.341898001,1888209.7392970002
4320257056,2017-11-07T00:00:00,1640,MD924,,CA,201804,,LEXS,PA,SL,1101 CHICAGO ST N,00600,56,88.13B+,METER EXP.,63,6499255.086325,1842836.544949
4306782443,2017-04-10T00:00:00,1745,,,CA,4,,VOLV,PA,WT,22300 OXNARD ST,00321,53,80.69.2,COMM VEH OVER TIME LIMIT,78,6376410.999724,1888160.144968
4259005575,2015-05-17T00:00:00,534,,,CA,201503,,JEEP,PA,WT,329 VETERAN AVE,107R,51,5204A-,DISPLAY OF TABS,25,99999,99999
4275138604,2016-01-08T00:00:00,1111,,,CA,8,,TOYT,PA,WT,19036 NAPA STREET,00337,53,80.69BS,NO PARK/STREET CLEAN,73,6396068.5,1905230.3
4256893911,2015-04-15T00:00:00,1024,,,CA,201509,,FORD,PA,BG,4609 MAUBERT AVE,00483,54,80.69BS,NO PARK/STREET CLEAN,73,6473940.9,1858570.8
4266660031,2015-09-03T00:00:00,818,MD83,,CA,201608,,VOLK,PA,GY,1000 BRITTANIA ST,638R1,56,88.13B+,METER EXP.,63,6498265.7,1842654.8
4284028361,2016-05-18T00:00:00,1349,,,CA,201606,,NISS,PA,BK,2001 BELOIT AVE,00153,51,5200,DISPLAY OF PLATES,25,6427543.8,1837800.9
4249535614,2015-02-05T00:00:00,2102,,,CA,201504,,BMW,PA,BK,6423 YUCCA ST,00402,54,80.69B,NO PARKING,73,6461765.7,1860371.6
4276606224,2016-02-08T00:00:00,1511,,,CA,5,,GMC,PA,GY,3101 OLYMPIC BLVD,00456,54,80.70,NO STOPPING/ANTI-GRI,163,6497348.3,1830074.5
4344065342,2018-12-05T00:00:00,141.0,,,CA,201910.0,,DODG,PA,BK,6626 FRANKLIN AVE,401B,54.0,80.56E1,WHITE ZONE,58.0,6460454.311114,1860831.354129
4299304811,2016-12-28T00:00:00,1122,,,CA,10,,TOYT,VN,WT,1069 ARDMORE AVE N,00443,54,80.69BS,NO PARK/STREET CLEAN,73,6470267.6918845,1855313.60393916
4327933794,2018-03-16T00:00:00,1728,,,CA,201811,,HOND,PA,SL,4360 KENWOOD AVE,00500,55,80.56E4+,RED ZONE,93,6471017.105359,1824117.809397
4298847674,2016-12-20T00:00:00,1222,,,CA,,,HOND,PA,BL,1531 CABRILLO AVENUE,00901,51,80.69BS,NO PARK/STREET CLEAN,73,6420620.287339,1818974.898243
4275510536,2016-01-14T00:00:00,2048,,,CA,6,,LEXS,PA,WT,4318 ALLOTT AVE,00310,53,5200,DISPLAY OF PLATES,25,6432183.1,1876552.7
4332227406,2018-05-17T00:00:00,1832.0,99,,CA,201810.0,,CHEV,PA,WT,1965 WILCOX AVE,402A,54.0,80.58L,PREFERENTIAL PARKING,68.0,6461453.799301,1858168.603985
4304536703,2017-03-10T00:00:00,1129,,,CA,,,OTHR,PA,WT,12318 VENTURA BL,00358,53,22502A,18 IN. CURB/2 WAY,63,6440261.563378,1874833.598735
4255806914,2015-04-15T00:00:00,1600,,,CA,201506,,MAZD,PA,BK,5601 DE SOTO AVE,378R1,53,22500.1+,PARKED IN FIRE LANE,63,6383757,1885491.3
1107635432,2015-10-23T00:00:00,540,,,CA,201604,,LEXU,PA,BK,LAFAYETTE/2ND,,1,5204A,EXPIRED TAGS,25,99999,99999
4257819860,2015-05-11T00:00:00,1353,,,CA,,,GRUM,VN,WT,461 SPRING ST S,00674,56,80.56E4+,RED ZONE,93,6486204.7,1839923.6
4322020990,2017-12-15T00:00:00,1347,OS149,,CA,201808,,VOLK,PA,WT,11300 OLYMPIC BL W,00134,51,88.13B+,METER EXP.,63,6427981.610749,1836572.592224
4343280664,2018-11-05T00:00:00,1236.0,,,CA,201908.0,,HOND,VN,GY,16001 KINGSBURY ST,00332,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
4326510495,2018-02-12T00:00:00,1339,,,CA,201802,,MAZD,PA,BK,1201 CORNWELL ST,00634,56,80.56E1,WHITE ZONE,58,6499890.72357,1843957.941772
4256206765,2015-03-29T00:00:00,1439,,,CA,201512,,MERZ,PA,BK,5101 PICO BLVD,00205,51,80.56E4+,RED ZONE,93,6455852.5,1840030.5
4332434912,2018-05-11T00:00:00,1020.0,,,CA,201904.0,,BUIC,PA,GY,1257 WESTGATE AVE,00151,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6421547.472438,1839543.787834
4265902060,2015-08-26T00:00:00,717,,,CA,201603,,ACUR,PA,WT,2601 6TH ST W,00445,54,80.69AA+,NO STOP/STAND,93,6476731.9,1845071.3
4288576994,2016-08-04T00:00:00,428,,,CA,201608,,FORD,PA,SL,11511 SHERMAN WAY,00309,53,80.69BS,NO PARK/STREET CLEAN,73,6445945.7,1895821.8
1111407312,2017-10-09T00:00:00,405,,,CA,,,CHRY,PA,WH,7423 S HOOVER ST,00500,55,8056E4,RED ZONE,93,6474622.412641,1812483.303672
4341701910,2018-10-15T00:00:00,1018.0,,,CA,201811.0,,LINC,PA,BK,2406 SYCAMORE AVE,00174,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6454722.746132,1835416.9822860002
4280297862,2016-04-19T00:00:00,1733,VW1403,,CA,201609,,JEEP,PA,BK,3101 7TH ST W,00403,54,88.13B+,METER EXP.,63,6473335.6,1844263.6
4264393932,2015-08-06T00:00:00,2009,132,,CA,201511,,HOND,PA,GY,7813 OAKWOOD AVENUE,402R,54,80.58L,PREFERENTIAL PARKING,68,99999,99999
4324108541,2018-01-08T00:00:00,711,,,CA,201804,,JEEP,PA,GY,717 9TH ST E,00600,56,80.69AA+,NO STOP/STAND,93,6482440.406144,1839179.669837
4328874583,2018-03-25T00:00:00,1316,31,,CA,201807,,NISS,PA,GY,5249 VIRGINIA AVE,00492,54,80.58L,PREFERENTIAL PARKING,68,6469770.666678,1855986.075294
4267413813,2015-09-17T00:00:00,1806,149,,CA,201602,,TOYT,PU,TN,1330 LAVETA TER,00642,56,80.58L,PREFERENTIAL PARKING,68,6484374.8,1850319.4
4328399272,2018-03-22T00:00:00,1358,,,CA,201701,,HOND,PA,GY,7100 OSO AVENUE,00375,53,22502A,18 IN. CURB/2 WAY,63,6387692.383493,1895386.538964
4294600435,2016-10-03T00:00:00,1210,,,CA,201709,,NISS,PA,GY,2600 CORNING ST,00142,51,80.69BS,NO PARK/STREET CLEAN,73,6446043.875661,1835557.189409
4314934422,2017-08-11T00:00:00,1425,,,CA,201611,,BMW,PA,GN,1516 COLBY AVE,00162,51,5204A-,DISPLAY OF TABS,25,6424223.769875,1839406.949397
4344236050,2018-11-23T00:00:00,822.0,W104,,CA,201903.0,,CHRY,PA,SL,5901 98TH ST W,00174,51.0,88.13B+,METER EXP.,63.0,6444605.353082,1803444.2555709998
4311927900,2017-07-13T00:00:00,1233,,,CA,201803,,TOYT,PA,SL,3180 ESTARA AVE,00641,56,80.69BS,NO PARK/STREET CLEAN,73,6488193.574694,1865989.619207
4320654800,2017-10-31T00:00:00,925,,,CA,1,,BMW,PA,BK,6610 W  ORANGE ST,478R2,54,80.69BS,NO PARK/STREET CLEAN,73,6449195.52768,1846300.878196
4312712670,2017-07-18T00:00:00,1102,,,CA,201705,,TOYT,PA,WT,800 WEST 101ST STREET,00500,55,80.69BS,NO PARK/STREET CLEAN,73,6473906.375158,1802345.033053
4253157532,2015-02-12T00:00:00,1712,OS158,,CA,201601,,TOYT,PA,SL,2200 CORINTH AV,00107,51,88.13B+,METER EXP.,63,6427694,1836372.5
4341864041,2018-10-15T00:00:00,1515.0,,,AZ,,,UNK,TR,BK,5206 PACIFIC AVE S,309A,51.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0
1108182305,2015-07-23T00:00:00,1405,,,CA,201507,,FIAT,PA,BK,1510 ELECTRIC,00001,1,5200A,DSPLYPLATE A,25,99999,99999
4352907823,2019-04-30T00:00:00,1819.0,CB1186,,CA,201908.0,,VOLV,PA,BK,1200 OLIVE ST S,00600,56.0,88.13B+,METER EXP.,63.0,6482227.391505,1836837.673218
4353138591,2019-04-23T00:00:00,810.0,,,CA,201908.0,,DODG,PA,BK,A/F 1148 CHICAGO ST N,00633,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6499419.212283,1843147.784394
4312852143,2017-08-02T00:00:00,1722,,,CA,201708,,TOYT,PA,BK,1212 SLAUSON AVE W,00500,55,80.69AP+,NO STOP/STANDING,93,6471905.960759,1818549.842943
4326589584,2018-03-02T00:00:00,1336,,,CA,201806,,LNDR,PA,WT,1003 ABBOT KINNEY BLVD,00903,51,80.56E1,WHITE ZONE,58,6418200.175437,1819936.635525
4324645710,2018-02-20T00:00:00,710,,,CA,201708,,JEEP,PA,WT,5600 2ND ST W,00477,54,22500F,PARKED ON SIDEWALK,68,6458135.977863,1848413.972737
4257665812,2015-05-22T00:00:00,1856,,,CA,201503,,LEXS,PA,BK,200 SOUTH HEWITT STREET,00600,56,5204A-,DISPLAY OF TABS,25,6490142.4,1839630.1
4352966376,2019-04-15T00:00:00,810.0,,,CA,201804.0,,KW,PA,BK,601 NEW HAMPSHIRE AV S,00472,54.0,5204A-,DISPLAY OF TABS,25.0,6472951.621758,1845658.1631200002
1113990721,2016-02-09T00:00:00,1015,,,CA,201512,,CHEV,PA,BK,1417 EDRIS DR,00141,51,8069BS,NO PARK/STREET CLEAN,73,6441251.7,1842497
4297792752,2016-12-02T00:00:00,1149,,1025,CA,201709,,TOYT,PA,GN,603 RAMPART BLVD S,00453,54,80.69C,PARKED OVER TIME LIMIT,58,6476448.093808,1845198.960406
4323689403,2017-12-19T00:00:00,1236,,,CA,201710,,NISS,PA,GY,352 73RD ST W,00545,55,80.69BS,NO PARK/STREET CLEAN,73,6476959.268448,1812929.552765
1122664502,2017-10-03T00:00:00,1100,,,CA,201707,,FORD,PA,WH,7610 WOODLEY,1A4,11,4000A1,NO EVIDENCE OF REG,50,6415432.110413,1898663.259629
4284461893,2016-06-24T00:00:00,810,,,CA,201609,,VOLK,PA,WT,4700 W AMBROSE AVE,447,54,80.69BS,NO PARK/STREET CLEAN,73,6473338.9,1862522.2
4266139216,2015-09-15T00:00:00,2320,98,,CA,201604,,KIA,PA,RD,1745 WEST SILVER LAKE DR,00403,54,80.58L,PREFERENTIAL PARKING,68,6480411.2,1855331.4
4273778902,2015-12-22T00:00:00,1238,21,,CA,201609,,CADI,PA,BK,2102 MIDVALE AVE,00161,51,80.58L,PREFERENTIAL PARKING,68,6430250.1,1838925.7
4299225313,2016-12-23T00:00:00,1246,WS5611,,CA,5,,NISS,PA,RD,10365 SANTA MONICA BLVD W,00405,51,88.13B+,METER EXP.,63,6433464.391246,1843829.656345
4312593762,2017-07-08T00:00:00,827,PM150,,CA,201712,,CHRY,PA,BL,10100 VENICE BL,00142,51,88.13B+,METER EXP.,63,6440398.543713,1830762.628727
4300918451,2017-01-05T00:00:00,835,,,CA,10,,SUBA,PA,GN,4885 HILLSDALE DR E,00631,56,80.69BS,NO PARK/STREET CLEAN,73,6507064.63033604,1853815.13494475
4328224401,2018-03-11T00:00:00,133,,,CA,201902,,DODG,VN,WT,800 ALVARADO ST S,00600,56,80.69B,NO PARKING,73,6481337.198806,1849658.750342
4318479314,2017-10-14T00:00:00,1210,CB3507,,CA,201808,,JEEP,PA,GY,300 12TH ST W,00600,56,88.13B+,METER EXP.,63,6482227.391505,1836837.673218
4349089846,2019-02-07T00:00:00,1247.0,,,CA,201906.0,,HYUN,PA,GY,1020 CATALINA ST S,539BH,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6472383.665398001,1841542.240616
4302576121,2017-02-10T00:00:00,1003,,,CA,201704,,SAA,PA,BL,900 SUNSET BLVD W,00636,56,80.56E4+,RED ZONE,93,6487069.971863,1845276.753941
4282620053,2016-04-29T00:00:00,815,,,CA,201704,,TOYT,PA,BG,1422 MIDVALE AVE,00153,51,80.69BS,NO PARK/STREET CLEAN,73,6427669.2,1842519.8
4290873510,2016-08-10T00:00:00,1254,,,CA,201609,,AUDI,PA,GY,6007 VENICE BLVD,00145,51,80.69BS,NO PARK/STREET CLEAN,73,6448211.8,1836191.4
4305460353,2017-03-24T00:00:00,1122,,,CA,201701,,LNDR,PA,BK,200 LARCHMONT BL N,00477,54,5204A-,DISPLAY OF TABS,25,6463689.893749,1848423.248453
4296752876,2016-11-09T00:00:00,1924,GA132,,CA,201703,,HOND,PA,WT,3500 LARGA AV,00600,56,88.13B+,METER EXP.,63,6483236.103738,1865088.557626
4352809790,2019-04-23T00:00:00,1509.0,30,,CA,201906.0,,TOYT,PA,WT,824 ORLANDO AVE,00473,54.0,80.58L,PREFERENTIAL PARKING,68.0,6448676.611296,1853805.423563
4292387842,2016-09-14T00:00:00,1133,,,CA,201709,,TOYT,PA,BK,8605 PICO BLVD,00142,51,22507.8A,DISABLED PARKING/NO,363,6446970.9,1842177.8
4296605062,2016-11-01T00:00:00,1007,,,CA,201704,,HOND,PA,GY,101 WITMER ST,00641,56,80.69BS,NO PARK/STREET CLEAN,73,6482724.631171,1845165.069909
4263544250,2015-07-15T00:00:00,2152,,,CA,201505,,TOYT,PA,BK,1069 SANBORN AVE N,00403,54,5204A-,DISPLAY OF TABS,25,6476647.4,1855898.8
4262863920,2015-07-23T00:00:00,811,,,CA,201512,,CHEV,PU,WT,3606 CENTINELA AVE,00132,51,80.69BS,NO PARK/STREET CLEAN,73,99999,99999
4324701054,2018-01-05T00:00:00,807,NH1077,,CA,,,MERZ,PA,GY,5200 BLAKESLEE AV,00355,53,88.13B+,METER EXP.,63,6448999.195986,1882601.871218
1109627013,2015-04-01T00:00:00,216,,,CA,201504,,FORD,PA,RE,2800 S EDGEHILL DR,00500,55,8056E4,RED ZONE,93,6461875.5,1833887.9
4298141536,2016-11-18T00:00:00,1921,SC35,,CA,201708,,VOLK,PA,GY,12000 VENTURA PL,00315,53,88.13B+,METER EXP.,63,6442720.007929,1874929.219371
4282047335,2016-05-04T00:00:00,922,,,AZ,201704,,SUBA,PA,SL,5113 EDGEWOOD PL,00174,51,80.69BS,NO PARK/STREET CLEAN,73,6457969.6,1842535.8
4339119525,2018-09-19T00:00:00,1008.0,,,CA,201903.0,,MITS,PA,WT,1551 N  RODNEY DR,00449,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6474026.047897,1858610.5657669997
4304023404,2017-03-07T00:00:00,720,,,CA,201711,,MERC,VN,GN,21200 ROSCOE BLVD,00371,53,80.70,NO STOPPING/ANTI-GRIDLOCK ZONE,163,6382104.055226,1902918.7356
4307077552,2017-05-01T00:00:00,1028,,,CA,,,PORS,PA,GY,433 SOUTH WESTMORELAND AVENUE,465R1,54,80.69BS,NO PARK/STREET CLEAN,73,6474305.256948,1846618.824163
4317671492,2017-09-28T00:00:00,1345,,,CA,201712,,HOND,PA,SL,4100 VAN NOORD AVE,00357,53,80.69AA+,NO STOP/STAND,93,6435982.539987,1875553.14664
4313708943,2017-07-28T00:00:00,1430,VN235,,CA,201612,,GMC,PU,GO,14500 GILMORE ST,369B,53,88.13B+,METER EXP.,63,6425965.853877,1890974.435641
4251379285,2015-02-04T00:00:00,106,,,CA,201412,,HOND,PA,WT,11900 TEXAS AVE,00111,51,5204A-,DISPLAY OF TABS,25,6421464.8,1839048.9
4274900604,2016-01-14T00:00:00,1129,SC215,,CA,201610,,TOYT,PA,WT,12100 VENTURA BL,00358,53,88.13B+,METER EXP.,63,6442071.6,1874863.3
4283607510,2016-05-25T00:00:00,1708,,,CA,201610,,HOND,PA,SL,969 VERNON AVE,00500,55,80.69AP+,NO STOP/STANDING,93,6473595.6,1823849.7
4338797433,2018-09-06T00:00:00,802.0,,,CA,201808.0,,STRN,PA,RD,5959 MAIN ST S,500,55.0,80.69AP+,NO STOP/STANDING,93.0,99999.0,99999.0
4348163374,2019-02-19T00:00:00,1038.0,,,CA,201911.0,,PORS,PA,BK,301 HAMPTON DR,00131,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6417090.659030001,1821459.082125
4339408791,2018-09-06T00:00:00,850.0,,,CA,201906.0,,STRN,PA,TN,13600 VERMONT AVE S,555,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6473233.409043,1789125.886809
4266250682,2015-09-02T00:00:00,1436,WS443,,CA,201601,,CADI,PA,BN,1540 SEPULVEDA BL S,00163,51,88.13B+,METER EXP.,63,99999,99999
4292313572,2016-08-27T00:00:00,1900,BH252,,CA,201608,,FORD,PA,OT,2608 CESAR E CHAVEZ AV E,00600,56,88.13B+,METER EXP.,63,6499548.9,1839039.8
4254745950,2015-03-06T00:00:00,1410,WP8201,,CA,,,VOLK,PA,BK,31 WASHINGTON BLVD E,00131,51,88.13B+,METER EXP.,63,6516330.2,1883862.2
4252349883,2015-02-27T00:00:00,1103,,0840,CA,201507,,CHRY,PA,SL,6250 TYRONE AVE,00363,53,80.69C,PARKED OVER TIME LIM,58,6427278.6,1889524.6
4270409732,2015-11-08T00:00:00,1818,,,TX,201512,,FORD,PA,BK,719 SOUTH BROADWAY,00603,56,80.56E1,WHITE ZONE,58,6489239.6,1844560.3
4321762782,2017-12-26T00:00:00,1504,,,CA,,,PTRB,CM,RD,5700 BLK WILBUR AVE,378R2,53,80.69.2,COMM VEH OVER TIME LIMIT,133,99999,99999
4316316550,2017-09-08T00:00:00,1310,,,CA,201705,,CHEV,PU,BL,4441 COLDWATER CANYON AVE,00396,53,5204A-,DISPLAY OF TABS,25,6436478.67139618,1877796.25316603
4268290611,2015-10-07T00:00:00,1031,,,CA,5,,CHEV,PA,RD,1720 NORTH WILTON PLACE,00441,54,80.69BS,NO PARK/STREET CLEAN,73,6466720.2,1859676.7
4341082012,2018-09-23T00:00:00,249.0,,,CA,201906.0,,TOYT,PA,SL,627 MAIN ST S,00600,56.0,80.69B,NO PARKING,73.0,6485839.453691999,1838822.112909
4341524725,2018-10-05T00:00:00,657.0,,,CA,201902.0,,DODG,PA,MR,4500 PINAFORE ST,00500,55.0,80.56E1,WHITE ZONE,58.0,6456011.002319001,1827398.234749
1115892186,2017-03-01T00:00:00,1730,,,CA,201708,,KIA,PA,WH,1810 W SLAUSON AV,00001,1,225078A,HANDICAP/NO DP ID,363,6467761.057173,1818570.185274
4261365242,2015-06-16T00:00:00,2224,,,AZ,201601,,TOYT,PA,SL,1763 N IVAR AVE,00402,54,80.69B,NO PARKING,73,6462320.1,1860051
4285676975,2016-06-30T00:00:00,1425,WV307,,CA,201706,,CHEV,PA,RD,1126 WESTWOOD BLVD,00187,51,88.03A,OUTSIDE LINES/METER,58,6426853.1,1844604.4
4353080675,2019-04-26T00:00:00,831.0,,,CA,201908.0,,TOYT,PA,GY,533 FREMONT AV S,00600,56.0,80.56E1,WHITE ZONE,58.0,6483391.498609,1841522.050145
4343634212,2018-11-07T00:00:00,1200.0,,,CA,201908.0,,LEXS,PA,WT,2845 BENTLEY AVE,309A,51.0,80.73.2,EXCEED 72HRS-ST,68.0,6431754.390364,1833509.3621540002
4331889030,2018-05-18T00:00:00,1400.0,235,,CA,201901.0,,TOYT,PA,WT,8700 REGENT ST,00109,51.0,80.58L,PREFERENTIAL PARKING,68.0,6444906.939249,1834879.1718310001
4347743864,2019-02-01T00:00:00,1728.0,UC150,,CA,201901.0,,TOYT,PA,TN,3400 CAHUENGA BL,00315,53.0,88.13B+,METER EXP.,63.0,6455148.071972,1870460.063682
4269039401,2015-10-13T00:00:00,1254,,,CA,3,,OTHR,CM,BN,209 CENTRAL AVE S,00600,56,80.56E4+,RED ZONE,93,6489159.9,1839783.2
4329389175,2018-04-09T00:00:00,2105,13,,CA,201808,,FORD,PA,GY,340 SWEETZER AVE N,00401,54,80.58L,PREFERENTIAL PARKING,68,6449571.123416,1848712.596212
4297578036,2016-11-16T00:00:00,1836,BR125A,,CA,201701,,MERZ,PA,BL,11701 GORHAM AV,00111,51,88.13B+,METER EXP.,63,6420500.953321,1842362.892691
4277454985,2016-03-04T00:00:00,1125,,,CA,201607,,FORD,PA,SL,4046 MONROE STREET,00445,54,80.69BS,NO PARK/STREET CLEAN,73,6475191.2,1853666.8
4251907623,2015-02-13T00:00:00,1839,ERL8,,CA,201511,,MAZD,PA,GY,5001 CASPAR AV,00673,56,88.63B+,OFF STR/OVERTIME/MTR,58,6497075.2,1872234.2
4270626931,2015-11-06T00:00:00,1430,SS16568,,CA,201610,,VOLK,PA,WT,1615 COLBY AVE,00163,51,88.63B+,OFF STR/OVERTIME/MTR,58,6424540.8,1839012.9
4271593885,2015-12-14T00:00:00,806,,,CA,201611,,CHEV,PA,BK,724 SWEETZER AVE,00479,54,80.69BS,NO PARK/STREET CLEAN,73,6449540.4,1853195.3
4342156361,2018-10-19T00:00:00,1237.0,VH23,,OR,202202.0,,FORD,VN,BK,4661 HOLLYWOOD BL,00445,54.0,88.13B+,METER EXP.,63.0,6473626.216148,1859120.766843
4283470730,2016-05-17T00:00:00,1016,,,CA,6,,LEXS,PA,RD,2148 ZONAL AVE,00669,56,22500B,PARKED IN CROSSWALK,68,6499792.9,1844015.7
4311095946,2017-06-26T00:00:00,1224,,,CA,201803,,TOYT,PA,BL,7034 FOUNTAIN AVENUE,00485,54,80.69BS,NO PARK/STREET CLEAN,73,6457875.356204,1856887.307971
4320417743,2017-11-16T00:00:00,1544,PR377,,CA,201805,,AUDI,PA,GY,1145 BEVERLY DR S,00101,51,88.13B+,METER EXP.,63,6441575.195141,1843300.330989
4336750843,2018-07-30T00:00:00,840.0,,,CA,6.0,,NISS,PA,BK,17171 ROSCOE BLVD,00334,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6407984.905346,1903243.6772259998
4316695084,2017-09-12T00:00:00,1021,,,CA,,,VOLK,PA,SL,5100 VIA DOLCE,00136,51,80.69BS,NO PARK/STREET CLEAN,73,6423558.544127,1811687.177123
4252522901,2015-03-06T00:00:00,1323,,,CA,201505,,AUDI,PA,BK,2355 WESTGATE AVE,00151,51,80.69BS,NO PARK/STREET CLEAN,73,6425421.4,1833824.3
4282324966,2016-06-28T00:00:00,932,,,CA,201610,,NISS,PA,GY,5207 TEESDALE AVE,00325,53,80.73.2,EXCEED 72HRS-ST,68,6438127.1,1882670.6
4329273303,2018-04-17T00:00:00,1856,PB237,,WA,201805,,HOND,PA,GO,5800 PICO BL W,00205,51,88.13B+,METER EXP.,63,6450899.785873,1841258.538854
